Dept,GDP_pc1975,GDP_pc2005,LGDP_pcr1975,LGDP_pcr2005
Antioquia,1281378.177,2260470.601,0.273244625,0.30928226
Atlántico,1341954.372,1675994.084,0.319435463,0.01011571
Bogotá,2039282.404,3086613.125,0.737906408,0.620783651
Bolívar,1064069.452,1780568.9,0.087409089,0.070642158
Boyacá,996754.0931,1751740.552,0.022057239,0.054319132
Caldas,888898.4045,1703521.452,-0.092463905,0.026406789
Caquetá,670919.3006,779209.5267,-0.373797991,-0.755766063
Cauca,676785.3705,1341364.303,-0.365092661,-0.21260353
Cesar,862240.9826,1495988.402,-0.12291206,-0.103503636
Córdoba,711462.6739,1234131.02,-0.315123899,-0.295923667
Cundinamarca,1070822.349,2268932.44,0.093735329,0.313018668
Chocó,413959.0246,691536.9999,-0.856679859,-0.875129385
Huila,855184.1948,1504620.268,-0.131129975,-0.097750209
La Guajira,436188.4629,2214751.294,-0.804372449,0.288849352
Magdalena,649291.2862,978002.5716,-0.406565415,-0.528533742
Meta,1159645.77,1660977.605,0.173423013,0.001115586
Nariño,490793.1566,890467.4141,-0.686424084,-0.622299532
Norte de Santander,693191.4013,996845.1081,-0.3411407,-0.509450642
Quindío,950815.2518,1484263.917,-0.025127077,-0.111371792
Risaralda,1060134.491,1758840.577,0.083704204,0.058364067
Santander,1122189.402,2342492.964,0.140590026,0.344924969
Sucre,651578.019,714832.7976,-0.403049711,-0.841997376
Tolima,903118.9601,1497080.448,-0.07659257,-0.102773919
Valle,1461229.566,2162646.094,0.404586675,0.265041753
Amazonía Group,814829.7155,1023428.465,-0.1794677,-0.483132531
Arauca,2320897.121,1927593,0.867262226,0.149981312
Casanare,1384474.09,4609492,0.350628774,1.021826893
Putumayo,328168.6567,619113,-1.08891918,-0.985758233
